attendingphysician,claimid
PHY334734,5
PHY334735,3
PHY334736,1
PHY334738,1
PHY334739,1
PHY334740,1
PHY334741,1
PHY334742,1
PHY334743,1
PHY334744,1
PHY334746,6
PHY334747,2
PHY334748,24
PHY334749,2
PHY334751,1
PHY334753,10
PHY334755,8
PHY334756,5
PHY334757,1
PHY334758,1
PHY334759,2
PHY334761,1
PHY334762,2
PHY334767,7
PHY334768,16
PHY334769,3
PHY334770,1
PHY334771,6
PHY334772,1
PHY334775,46
PHY334779,1
PHY334785,21
PHY334787,1
PHY334788,2
PHY334789,9
PHY334792,2
PHY334793,4
PHY334794,1
PHY334795,2
PHY334798,2
PHY334799,1
PHY334800,3
PHY334802,2
PHY334803,1
PHY334806,6
PHY334807,2
PHY334808,22
PHY334811,1
PHY334813,1
PHY334814,3
PHY334815,5
PHY334817,2
PHY334819,1
PHY334820,1
PHY334821,2
PHY334822,1
PHY334824,8
PHY334825,1
PHY334827,10
PHY334828,2
PHY334830,1
PHY334831,1
PHY334834,3
PHY334835,4
PHY334837,2
PHY334839,12
PHY334840,1
PHY334841,2
PHY334842,2
PHY334843,49
PHY334844,2
PHY334845,2
PHY334847,7
PHY334848,1
PHY334852,1
PHY334853,1
PHY334855,1
PHY334856,2
PHY334857,2
PHY334859,2
PHY334866,2
PHY334869,3
PHY334870,1
PHY334872,1
PHY334874,3
PHY334875,3
PHY334878,3
PHY334879,1
PHY334881,1
PHY334884,24
PHY334885,17
PHY334887,1
PHY334890,1
PHY334891,2
PHY334892,1
PHY334893,9
PHY334896,1
PHY334897,1
PHY334898,3
PHY334899,1
PHY334901,2
PHY334902,6
PHY334903,2
PHY334905,271
PHY334906,2
PHY334907,1
PHY334909,13
PHY334912,5
PHY334913,44
PHY334916,3
PHY334917,1
PHY334922,1
PHY334924,2
PHY334925,7
PHY334926,5
PHY334928,2
PHY334929,2
PHY334931,4
PHY334938,1
PHY334939,1
PHY334940,3
PHY334942,10
PHY334944,29
PHY334945,59
PHY334946,1
PHY334947,1
PHY334948,2
PHY334949,2
PHY334950,4
PHY334951,3
PHY334952,3
PHY334954,1
PHY334955,2
PHY334956,50
PHY334957,2
PHY334958,3
PHY334960,7
PHY334961,1
PHY334963,1
PHY334964,1
PHY334965,1
PHY334966,1
PHY334967,1
PHY334968,2
PHY334972,1
PHY334973,16
PHY334974,2
PHY334975,1
PHY334977,2
PHY334978,5
PHY334980,1
PHY334982,5
PHY334983,1
PHY334985,1
PHY334986,1
PHY334988,5
PHY334989,2
PHY334990,2
PHY334992,8
PHY334995,1
PHY334997,2
PHY334998,7
PHY334999,4
PHY335002,1
PHY335004,2
PHY335007,1
PHY335008,1
PHY335009,5
PHY335010,1
PHY335011,4
PHY335013,1
PHY335014,1
PHY335015,13
PHY335017,1
PHY335018,21
PHY335019,3
PHY335020,1
PHY335022,38
PHY335023,85
PHY335024,1
PHY335027,1
PHY335028,7
PHY335029,5
PHY335030,11
PHY335031,1
PHY335033,6
PHY335034,2
PHY335035,8
PHY335036,5
PHY335037,3
PHY335038,2
PHY335041,68
PHY335042,1
PHY335044,17
PHY335046,6
PHY335047,17
PHY335049,1
PHY335050,1
PHY335052,2
PHY335056,2
PHY335057,1
PHY335058,4
PHY335059,1
PHY335061,5
PHY335062,1
PHY335064,2
PHY335065,11
PHY335066,2
PHY335067,2
PHY335069,3
PHY335070,1
PHY335071,45
PHY335073,2
PHY335074,1
PHY335076,5
PHY335077,3
PHY335079,3
PHY335080,29
PHY335081,5
PHY335082,4
PHY335083,6
PHY335086,1
PHY335087,1
PHY335089,6
PHY335090,1
PHY335091,2
PHY335092,38
PHY335093,1
PHY335094,1
PHY335097,3
PHY335100,1
PHY335101,1
PHY335104,1
PHY335105,1
PHY335109,2
PHY335110,3
PHY335111,1
PHY335112,3
PHY335113,7
PHY335115,3
PHY335118,3
PHY335119,5
PHY335120,2
PHY335121,4
PHY335122,9
PHY335123,4
PHY335128,12
PHY335131,1
PHY335132,6
PHY335136,1
PHY335137,1
PHY335139,3
PHY335140,1
PHY335141,1
PHY335142,1
PHY335143,2
PHY335144,1
PHY335145,1
PHY335146,131
PHY335148,7
PHY335150,2
PHY335151,1
PHY335153,25
PHY335154,13
PHY335155,8
PHY335156,1
PHY335157,2
PHY335160,1
PHY335161,14
PHY335162,1
PHY335163,2
PHY335164,5
PHY335165,38
PHY335166,1
PHY335168,2
PHY335169,1
PHY335172,1
PHY335174,2
PHY335175,23
PHY335176,1
PHY335177,2
PHY335178,1
PHY335179,2
PHY335180,1
PHY335181,8
PHY335182,6
PHY335183,5
PHY335186,2
PHY335187,1
PHY335188,1
PHY335189,1
PHY335192,1
PHY335193,2
PHY335194,1
PHY335196,1
PHY335198,1
PHY335199,3
PHY335200,4
PHY335203,3
PHY335204,1
PHY335206,1
PHY335207,3
PHY335208,2
PHY335210,1
PHY335211,3
PHY335212,2
PHY335213,1
PHY335214,16
PHY335218,1
PHY335219,1
PHY335220,2
PHY335221,1
PHY335222,1
PHY335223,2
PHY335224,1
PHY335225,2
PHY335227,1
PHY335228,6
PHY335230,1
PHY335232,1
PHY335233,2
PHY335235,4
PHY335236,28
PHY335237,6
PHY335244,1
PHY335246,1
PHY335247,1
PHY335248,1
PHY335249,5
PHY335250,7
PHY335251,9
PHY335252,3
PHY335254,1
PHY335255,2
PHY335256,2
PHY335257,6
PHY335258,5
PHY335259,25
PHY335260,3
PHY335261,2
PHY335263,2
PHY335264,1
PHY335265,1
PHY335267,2
PHY335269,1
PHY335270,2
PHY335271,5
PHY335272,57
PHY335273,1
PHY335274,4
PHY335275,54
PHY335276,1
PHY335277,1
PHY335278,2
PHY335280,41
PHY335281,1
PHY335283,2
PHY335284,1
PHY335285,2
PHY335286,1
PHY335288,1
PHY335289,2
PHY335290,2
PHY335292,3
PHY335293,2
PHY335294,2
PHY335295,3
PHY335298,1
PHY335299,1
PHY335300,4
PHY335301,2
PHY335302,1
PHY335303,1
PHY335307,3
PHY335309,2
PHY335312,8
PHY335317,1
PHY335319,1
PHY335320,1
PHY335321,3
PHY335322,1
PHY335323,1
PHY335325,2
PHY335326,1
PHY335328,1
PHY335330,1
PHY335332,1
PHY335333,4
PHY335334,1
PHY335335,1
PHY335337,6
PHY335338,1
PHY335340,3
PHY335343,33
PHY335344,1
PHY335345,1
PHY335347,1
PHY335348,1
PHY335350,2
PHY335351,1
PHY335352,1
PHY335354,8
PHY335357,2
PHY335358,1
PHY335359,4
PHY335360,2
PHY335361,14
PHY335362,1
PHY335363,1
PHY335364,1
PHY335365,1
PHY335367,13
PHY335370,7
PHY335371,3
PHY335372,2
PHY335373,1
PHY335374,1
PHY335375,367
PHY335379,1
PHY335380,4
PHY335381,3
PHY335384,1
PHY335385,11
PHY335386,5
PHY335388,47
PHY335389,1
PHY335390,1
PHY335392,2
PHY335394,1
PHY335396,2
PHY335398,4
PHY335399,2
PHY335401,1
PHY335402,1
PHY335403,5
PHY335405,1
PHY335406,1
PHY335407,2
PHY335408,29
PHY335411,1
PHY335412,1
PHY335413,1
PHY335414,3
PHY335415,7
PHY335417,5
PHY335419,1
PHY335420,13
PHY335423,4
PHY335424,4
PHY335425,1
PHY335426,1
PHY335427,1
PHY335428,2
PHY335429,1
PHY335430,3
PHY335431,9
PHY335433,1
PHY335434,3
PHY335435,2
PHY335436,1
PHY335437,1
PHY335439,2
PHY335440,8
PHY335441,1
PHY335443,1
PHY335444,2
PHY335446,2
PHY335448,7
PHY335449,3
PHY335450,1
PHY335451,2
PHY335452,5
PHY335453,2
PHY335454,2
PHY335456,1
PHY335458,1
PHY335461,1
PHY335462,4
PHY335463,1
PHY335464,1
PHY335466,3
PHY335467,9
PHY335468,1
PHY335469,17
PHY335470,1
PHY335471,10
PHY335472,3
PHY335473,1
PHY335475,1
PHY335476,9
PHY335477,1
PHY335478,1
PHY335479,3
PHY335480,2
PHY335485,9
PHY335486,1
PHY335489,4
PHY335490,3
PHY335491,1
PHY335493,9
PHY335495,1
PHY335496,3
PHY335498,1
PHY335499,2
PHY335500,1
PHY335502,2
PHY335503,7
PHY335504,1
PHY335505,1
PHY335506,2
PHY335510,2
PHY335511,1
PHY335512,7
PHY335513,24
PHY335514,10
PHY335517,28
PHY335518,1
PHY335521,3
PHY335522,1
PHY335523,2
PHY335525,9
PHY335526,7
PHY335528,15
PHY335529,36
PHY335530,2
PHY335531,4
PHY335532,1
PHY335534,1
PHY335535,6
PHY335537,2
PHY335540,2
PHY335541,6
PHY335543,2
PHY335546,1
PHY335547,3
PHY335549,11
PHY335551,1
PHY335552,45
PHY335553,1
PHY335556,2
PHY335558,2
PHY335559,1
PHY335561,1
PHY335562,1
PHY335563,1
PHY335564,3
PHY335565,4
PHY335567,3
PHY335569,1
PHY335571,1
PHY335572,7
PHY335573,5
PHY335574,6
PHY335576,6
PHY335577,54
PHY335578,5
PHY335579,1
PHY335580,1
PHY335581,3
PHY335582,40
PHY335583,5
PHY335584,4
PHY335585,5
PHY335590,1
PHY335592,63
PHY335593,1
PHY335596,1
PHY335597,2
PHY335598,4
PHY335599,4
PHY335600,1
PHY335601,3
PHY335602,1
PHY335605,6
PHY335607,1
PHY335610,3
PHY335611,1
PHY335612,14
PHY335614,1
PHY335618,1
PHY335619,2
PHY335620,4
PHY335621,1
PHY335622,22
PHY335623,1
PHY335624,3
PHY335625,16
PHY335628,1
PHY335629,1
PHY335630,1
PHY335631,2
PHY335632,8
PHY335634,1
PHY335635,1
PHY335636,22
PHY335637,2
PHY335639,2
PHY335642,1
PHY335643,1
PHY335644,3
PHY335645,1
PHY335647,1
PHY335648,1
PHY335649,17
PHY335650,1
PHY335653,2
PHY335657,7
PHY335658,21
PHY335659,1
PHY335660,9
PHY335661,3
PHY335663,3
PHY335665,2
PHY335666,1
PHY335669,55
PHY335670,7
PHY335672,1
PHY335673,1
PHY335674,3
PHY335675,1
PHY335676,1
PHY335677,7
PHY335678,16
PHY335679,5
PHY335682,2
PHY335683,1
PHY335684,1
PHY335686,4
PHY335687,2
PHY335688,1
PHY335689,1
PHY335691,4
PHY335695,1
PHY335696,1
PHY335697,39
PHY335700,1
PHY335704,5
PHY335705,5
PHY335707,1
PHY335709,1
PHY335710,2
PHY335711,1
PHY335715,1
PHY335716,2
PHY335718,1
PHY335719,1
PHY335721,2
PHY335723,15
PHY335724,4
PHY335725,2
PHY335726,10
PHY335727,1
PHY335728,1
PHY335729,1
PHY335730,3
PHY335731,3
PHY335735,1
PHY335736,1
PHY335737,4
PHY335739,1
PHY335740,1
PHY335741,38
PHY335742,1
PHY335745,2
PHY335746,13
PHY335747,1
PHY335749,1
PHY335751,1
PHY335753,1
PHY335756,1
PHY335761,1
PHY335763,4
PHY335764,6
PHY335765,2
PHY335766,2
PHY335767,1
PHY335768,27
PHY335771,29
PHY335772,3
PHY335774,1
PHY335776,1
PHY335777,1
PHY335778,7
PHY335780,2
PHY335781,5
PHY335784,6
PHY335785,2
PHY335786,1
PHY335787,1
PHY335788,1
PHY335789,2
PHY335790,1
PHY335791,53
PHY335792,2
PHY335793,1
PHY335794,6
PHY335795,3
PHY335797,1
PHY335798,2
PHY335799,3
PHY335801,1
PHY335804,5
PHY335805,1
PHY335806,1
PHY335808,2
PHY335809,1
PHY335810,1
PHY335811,2
PHY335812,1
PHY335813,1
PHY335814,1
PHY335815,1
PHY335816,6
PHY335817,2
PHY335818,28
PHY335819,1
PHY335821,3
PHY335823,1
PHY335824,1
PHY335825,1
PHY335828,36
PHY335830,2
PHY335831,2
PHY335833,1
PHY335834,1
PHY335835,5
PHY335837,17
PHY335839,7
PHY335840,2
PHY335841,1
PHY335842,1
PHY335843,1
PHY335844,1
PHY335845,1
PHY335847,4
PHY335849,3
PHY335850,139
PHY335851,1
PHY335852,8
PHY335854,1
PHY335857,1
PHY335859,1
PHY335861,3
PHY335862,1
PHY335863,1
PHY335864,1
PHY335865,1
PHY335866,1
PHY335870,2
PHY335871,2
PHY335873,1
PHY335874,1
PHY335875,1
PHY335877,36
PHY335881,30
PHY335882,3
PHY335883,1
PHY335885,2
PHY335886,1
PHY335890,7
PHY335892,3
PHY335893,1
PHY335895,1
PHY335896,1
PHY335899,1
PHY335900,4
PHY335901,1
PHY335902,1
PHY335903,1
PHY335904,3
PHY335905,2
PHY335907,2
PHY335908,1
PHY335909,14
PHY335910,3
PHY335913,8
PHY335917,56
PHY335918,1
PHY335919,5
PHY335921,2
PHY335922,1
PHY335923,9
PHY335924,5
PHY335925,1
PHY335926,1
PHY335927,11
PHY335928,10
PHY335929,4
PHY335931,1
PHY335933,1
PHY335935,7
PHY335936,2
PHY335940,2
PHY335941,1
PHY335942,2
PHY335943,9
PHY335945,1
PHY335947,1
PHY335948,1
PHY335949,5
PHY335951,1
PHY335953,1
PHY335958,1
PHY335960,5
PHY335962,2
PHY335964,1
PHY335965,17
PHY335966,1
PHY335969,10
PHY335970,2
PHY335971,2
PHY335972,3
PHY335973,1
PHY335974,12
PHY335975,154
PHY335976,2
PHY335977,1
PHY335978,2
PHY335979,1
PHY335981,2
PHY335982,1
PHY335983,3
PHY335984,1
PHY335985,1
PHY335988,1
PHY335990,2
PHY335992,1
PHY335993,3
PHY335994,2
PHY335996,49
PHY335997,2
PHY335999,1
PHY336001,13
PHY336002,1
PHY336005,2
PHY336006,2
PHY336007,1
PHY336008,3
PHY336013,1
PHY336014,3
PHY336016,4
PHY336019,1
PHY336020,15
PHY336021,4
PHY336022,1
PHY336024,1
PHY336025,2
PHY336027,3
PHY336028,5
PHY336029,2
PHY336032,1
PHY336033,9
PHY336035,2
PHY336036,1
PHY336038,1
PHY336041,13
PHY336042,1
PHY336043,1
PHY336044,1
PHY336046,2
PHY336048,19
PHY336049,4
PHY336055,2
PHY336056,15
PHY336057,1
PHY336058,1
PHY336059,1
PHY336060,4
PHY336062,1
PHY336063,2
PHY336066,1
PHY336067,1
PHY336068,1
PHY336069,1
PHY336072,1
PHY336073,1
PHY336074,2
PHY336075,5
PHY336077,1
PHY336078,5
PHY336079,1
PHY336081,3
PHY336082,1
PHY336084,1
PHY336085,2
PHY336086,1
PHY336087,16
PHY336089,1
PHY336090,20
PHY336091,42
PHY336093,1
PHY336094,1
PHY336098,4
PHY336099,2
PHY336101,4
PHY336104,2
PHY336106,67
PHY336108,2
PHY336109,7
PHY336110,1
PHY336111,3
PHY336112,1
PHY336114,1
PHY336116,3
PHY336117,4
PHY336119,1
PHY336121,1
PHY336124,1
PHY336127,2
PHY336128,1
PHY336129,1
PHY336130,1
PHY336131,1
PHY336132,2
PHY336134,2
PHY336135,2
PHY336136,1
PHY336137,2
PHY336139,5
PHY336141,4
PHY336142,17
PHY336144,2
PHY336145,1
PHY336147,1
PHY336148,8
PHY336150,5
PHY336151,1
PHY336152,13
PHY336153,8
PHY336154,1
PHY336155,7
PHY336156,2
PHY336157,3
PHY336159,1
PHY336162,4
PHY336163,1
PHY336166,1
PHY336167,4
PHY336168,1
PHY336169,1
PHY336170,1
PHY336171,1
PHY336172,5
PHY336173,1
PHY336174,2
PHY336175,2
PHY336177,12
PHY336178,4
PHY336179,1
PHY336180,1
PHY336181,6
PHY336182,36
PHY336183,2
PHY336187,2
PHY336191,1
PHY336193,1
PHY336194,3
PHY336195,1
PHY336199,6
PHY336200,1
PHY336201,16
PHY336202,1
PHY336203,2
PHY336205,7
PHY336206,1
PHY336208,18
PHY336209,1
PHY336210,2
PHY336211,4
PHY336213,3
PHY336214,1
PHY336215,7
PHY336216,2
PHY336217,1
PHY336221,1
PHY336223,3
PHY336224,1
PHY336225,1
PHY336226,87
PHY336229,1
PHY336230,1
PHY336231,2
PHY336233,4
PHY336234,3
PHY336239,1
PHY336240,1
PHY336241,1
PHY336243,1
PHY336244,19
PHY336245,1
PHY336246,18
PHY336249,2
PHY336250,1
PHY336252,7
PHY336253,2
PHY336255,3
PHY336256,2
PHY336258,2
PHY336259,1
PHY336260,1
PHY336261,1
PHY336266,7
PHY336268,20
PHY336270,1
PHY336271,1
PHY336272,1
PHY336273,1
PHY336275,4
PHY336276,2
PHY336278,1
PHY336279,1
PHY336280,5
PHY336285,10
PHY336287,1
PHY336288,1
PHY336289,2
PHY336290,4
PHY336291,7
PHY336292,8
PHY336293,1
PHY336295,1
PHY336296,1
PHY336298,1
PHY336300,3
PHY336301,2
PHY336302,1
PHY336303,1
PHY336305,16
PHY336306,2
PHY336307,4
PHY336310,1
PHY336312,1
PHY336314,1
PHY336315,3
PHY336316,1
PHY336317,3
PHY336318,3
PHY336320,1
PHY336321,1
PHY336322,4
PHY336323,2
PHY336324,1
PHY336325,1
PHY336326,4
PHY336328,3
PHY336331,1
PHY336332,1
PHY336333,4
PHY336334,2
PHY336335,1
PHY336336,2
PHY336337,14
PHY336338,1
PHY336339,1
PHY336340,7
PHY336341,5
PHY336343,1
PHY336347,2
PHY336348,1
PHY336349,3
PHY336351,1
PHY336352,3
PHY336355,5
PHY336357,1
PHY336358,1
PHY336360,1
PHY336364,2
PHY336366,1
PHY336367,25
PHY336368,1
PHY336369,1
PHY336371,1
PHY336373,2
PHY336374,1
PHY336375,136
PHY336376,6
PHY336377,24
PHY336379,1
PHY336381,7
PHY336383,1
PHY336384,1
PHY336387,1
PHY336388,1
PHY336389,1
PHY336390,7
PHY336391,2
PHY336392,2
PHY336395,3
PHY336396,7
PHY336397,1
PHY336399,4
PHY336401,2
PHY336404,1
PHY336406,2
PHY336407,15
PHY336409,2
PHY336410,1
PHY336412,1
PHY336414,5
PHY336415,1
PHY336416,1
PHY336418,2
PHY336419,6
PHY336420,7
PHY336421,8
PHY336422,6
PHY336423,1
PHY336426,1
PHY336428,7
PHY336429,1
PHY336430,1
PHY336432,1
PHY336433,1
PHY336434,2
PHY336436,1
PHY336437,4
PHY336438,2
PHY336440,1
PHY336442,8
PHY336443,2
PHY336444,1
PHY336445,1
PHY336446,2
PHY336449,1
PHY336452,1
PHY336453,14
PHY336454,22
PHY336455,7
PHY336456,6
PHY336458,1
PHY336460,1
PHY336461,1
PHY336462,1
PHY336464,11
PHY336465,8
PHY336466,2
PHY336467,5
PHY336468,12
PHY336469,6
PHY336471,1
PHY336474,1
PHY336476,4
PHY336477,2
PHY336479,1
PHY336481,12
PHY336483,1
PHY336484,1
PHY336485,1
PHY336486,1
PHY336489,1
PHY336492,2
PHY336493,2
PHY336494,1
PHY336495,1
PHY336496,1
PHY336497,1
PHY336498,1
PHY336499,2
PHY336500,1
PHY336501,1
PHY336502,2
PHY336503,4
PHY336504,3
PHY336506,1
PHY336508,1
PHY336510,9
PHY336512,1
PHY336513,1
PHY336514,1
PHY336516,1
PHY336517,1
PHY336518,2
PHY336519,3
PHY336521,1
PHY336522,1
PHY336524,2
PHY336529,5
PHY336531,2
PHY336533,2
PHY336534,1
PHY336537,29
PHY336539,2
PHY336540,2
PHY336541,1
PHY336543,2
PHY336544,10
PHY336545,1
PHY336546,1
PHY336548,39
PHY336549,2
PHY336550,2
PHY336552,2
PHY336554,4
PHY336556,3
PHY336557,2
PHY336558,1
PHY336559,1
PHY336560,1
PHY336563,1
PHY336564,1
PHY336565,1
PHY336571,5
PHY336572,1
PHY336573,1
PHY336574,4
PHY336575,1
PHY336576,30
PHY336577,28
PHY336579,2
PHY336580,24
PHY336581,2
PHY336582,1
PHY336584,1
PHY336585,1
PHY336586,2
PHY336587,6
PHY336588,9
PHY336590,1
PHY336591,1
PHY336594,8
PHY336596,1
PHY336597,3
PHY336599,1
PHY336600,8
PHY336601,1
PHY336602,4
PHY336603,1
PHY336604,4
PHY336605,1
PHY336607,1
PHY336609,2
PHY336610,3
PHY336611,1
PHY336612,1
PHY336614,1
PHY336615,3
PHY336616,2
PHY336617,1
PHY336618,18
PHY336619,3
PHY336620,2
PHY336622,8
PHY336624,3
PHY336625,3
PHY336629,77
PHY336630,2
PHY336631,1
PHY336632,1
PHY336633,2
PHY336634,2
PHY336638,4
PHY336639,1
PHY336640,1
PHY336642,1
PHY336643,1
PHY336644,6
PHY336649,4
PHY336650,3
PHY336652,1
PHY336654,1
PHY336655,24
PHY336657,6
PHY336658,1
PHY336659,2
PHY336660,4
PHY336662,1
PHY336663,5
PHY336664,1
PHY336665,2
PHY336666,1
PHY336670,1
PHY336671,1
PHY336672,1
PHY336674,1
PHY336675,1
PHY336676,2
PHY336677,2
PHY336679,3
PHY336680,2
PHY336681,1
PHY336682,2
PHY336684,1
PHY336687,3
PHY336688,3
PHY336692,3
PHY336693,1
PHY336694,1
PHY336695,2
PHY336697,1
PHY336698,12
PHY336699,5
PHY336700,2
PHY336702,1
PHY336703,2
PHY336704,2
PHY336705,2
PHY336706,3
PHY336707,15
PHY336710,19
PHY336711,1
PHY336712,1
PHY336714,1
PHY336715,1
PHY336716,1
PHY336720,1
PHY336721,1
PHY336722,1
PHY336724,5
PHY336726,6
PHY336727,1
PHY336728,3
PHY336729,2
PHY336730,11
PHY336731,1
PHY336736,3
PHY336737,1
PHY336738,17
PHY336739,2
PHY336740,1
PHY336741,2
PHY336742,2
PHY336746,3
PHY336747,1
PHY336750,6
PHY336751,1
PHY336752,4
PHY336754,23
PHY336755,4
PHY336757,1
PHY336758,1
PHY336759,5
PHY336761,42
PHY336763,5
PHY336768,2
PHY336769,2
PHY336772,1
PHY336773,7
PHY336774,2
PHY336775,1
PHY336776,5
PHY336777,3
PHY336778,3
PHY336779,1
PHY336780,1
PHY336782,3
PHY336783,2
PHY336784,3
PHY336785,27
PHY336787,67
PHY336789,1
PHY336792,1
PHY336793,27
PHY336794,2
PHY336795,1
PHY336796,4
PHY336797,4
PHY336798,2
PHY336799,1
PHY336800,1
PHY336801,5
PHY336803,1
PHY336804,5
PHY336805,3
PHY336806,1
PHY336807,10
PHY336808,1
PHY336809,1
PHY336810,1
PHY336811,1
PHY336812,3
PHY336813,4
PHY336814,4
PHY336815,1
PHY336816,1
PHY336818,1
PHY336819,1
PHY336820,3
PHY336821,1
PHY336822,1
PHY336823,2
PHY336824,1
PHY336825,2
PHY336826,1
PHY336827,1
PHY336829,10
PHY336830,1
PHY336831,2
PHY336832,11
PHY336833,1
PHY336835,2
PHY336837,1
PHY336838,1
PHY336840,1
PHY336841,1
PHY336843,1
PHY336846,1
PHY336847,8
PHY336850,2
PHY336851,2
PHY336854,1
PHY336856,8
PHY336857,2
PHY336858,18
PHY336859,19
PHY336864,1
PHY336866,2
PHY336869,6
PHY336872,2
PHY336875,2
PHY336876,2
PHY336878,1
PHY336880,1
PHY336881,3
PHY336882,2
PHY336883,1
PHY336884,1
PHY336887,2
PHY336889,1
PHY336890,1
PHY336892,1
PHY336894,8
PHY336895,20
PHY336896,1
PHY336899,4
PHY336901,1
PHY336902,2
PHY336904,4
PHY336905,5
PHY336906,1
PHY336907,2
PHY336908,4
PHY336909,2
PHY336910,2
PHY336911,1
PHY336912,1
PHY336913,36
PHY336914,1
PHY336915,2
PHY336917,1
PHY336918,1
PHY336919,2
PHY336921,1
PHY336922,2
PHY336923,3
PHY336924,2
PHY336926,56
PHY336928,3
PHY336929,1
PHY336930,2
PHY336931,6
PHY336932,3
PHY336934,1
PHY336935,1
PHY336936,2
PHY336939,1
PHY336941,27
PHY336943,3
PHY336944,2
PHY336946,5
PHY336948,59
PHY336949,1
PHY336950,1
PHY336951,20
PHY336952,4
PHY336953,1
PHY336954,2
PHY336955,4
PHY336956,2
PHY336961,7
PHY336962,1
PHY336963,1
PHY336964,1
PHY336965,2
PHY336966,2
PHY336968,18
PHY336969,8
PHY336971,1
PHY336972,5
PHY336973,3
PHY336975,1
PHY336976,2
PHY336977,3
PHY336978,1
PHY336980,3
PHY336982,1
PHY336983,1
PHY336984,5
PHY336985,2
PHY336986,56
PHY336989,1
PHY336991,4
PHY336992,3
PHY336993,8
PHY336994,2
PHY336996,11
PHY336997,1
PHY336998,1
PHY337000,11
PHY337003,143
PHY337004,1
PHY337005,1
PHY337006,1
PHY337007,1
PHY337008,5
PHY337011,40
PHY337012,7
PHY337014,18
PHY337015,23
PHY337016,2
PHY337017,7
PHY337018,8
PHY337019,3
PHY337020,1
PHY337026,1
PHY337028,10
PHY337030,3
PHY337031,5
PHY337032,1
PHY337033,2
PHY337034,1
PHY337037,1
PHY337038,2
PHY337039,2
PHY337041,1
PHY337042,1
PHY337045,4
PHY337046,1
PHY337049,1
PHY337050,2
PHY337051,135
PHY337054,1
PHY337056,2
PHY337057,3
PHY337060,1
PHY337061,1
PHY337062,7
PHY337064,62
PHY337065,6
PHY337067,2
PHY337069,1
PHY337072,2
PHY337073,1
PHY337074,2
PHY337075,2
PHY337076,7
PHY337077,9
PHY337078,1
PHY337079,1
PHY337080,1
PHY337081,1
PHY337083,12
PHY337084,3
PHY337085,1
PHY337086,1
PHY337088,10
PHY337089,80
PHY337090,4
PHY337091,58
PHY337092,196
PHY337094,4
PHY337095,1
PHY337096,4
PHY337098,2
PHY337099,3
PHY337100,1
PHY337101,1
PHY337102,1
PHY337103,24
PHY337105,5
PHY337106,2
PHY337107,2
PHY337108,3
PHY337109,1
PHY337110,1
PHY337111,1
PHY337112,1
PHY337113,1
PHY337114,14
PHY337116,1
PHY337118,3
PHY337119,1
PHY337120,1
PHY337126,29
PHY337128,1
PHY337129,8
PHY337130,3
PHY337131,2
PHY337132,2
PHY337134,3
PHY337135,1
PHY337136,1
PHY337137,1
PHY337138,2
PHY337140,1
PHY337142,5
PHY337143,1
PHY337144,3
PHY337146,1
PHY337147,1
PHY337148,1
PHY337149,1
PHY337150,1
PHY337151,1
PHY337152,27
PHY337154,1
PHY337156,2
PHY337157,8
PHY337158,1
PHY337160,1
PHY337161,2
PHY337163,5
PHY337165,1
PHY337166,7
PHY337167,1
PHY337168,1
PHY337169,9
PHY337170,1
PHY337171,1
PHY337172,1
PHY337174,1
PHY337176,3
PHY337178,8
PHY337179,8
PHY337181,1
PHY337183,2
PHY337187,1
PHY337188,2
PHY337189,7
PHY337191,2
PHY337192,3
PHY337193,3
PHY337194,1
PHY337196,2
PHY337197,5
PHY337199,3
PHY337201,2
PHY337202,5
PHY337203,1
PHY337204,2
PHY337206,2
PHY337207,2
PHY337208,8
PHY337209,1
PHY337211,1
PHY337212,1
PHY337213,2
PHY337214,3
PHY337215,32
PHY337216,2
PHY337217,1
PHY337219,1
PHY337220,11
PHY337222,6
PHY337223,6
PHY337224,2
PHY337225,1
PHY337226,4
PHY337227,1
PHY337228,2
PHY337229,4
PHY337230,3
PHY337231,1
PHY337232,1
PHY337233,6
PHY337234,1
PHY337236,1
PHY337237,1
PHY337239,1
PHY337241,1
PHY337242,8
PHY337243,1
PHY337244,1
PHY337245,3
PHY337246,1
PHY337247,1
PHY337248,2
PHY337249,1
PHY337250,1
PHY337251,1
PHY337252,3
PHY337253,6
PHY337255,1
PHY337260,1
PHY337261,1
PHY337262,1
PHY337265,1
PHY337267,1
PHY337268,1
PHY337269,1
PHY337271,1
PHY337272,1
PHY337273,2
PHY337274,2
PHY337275,9
PHY337276,2
PHY337277,3
PHY337278,25
PHY337279,1
PHY337281,1
PHY337282,1
PHY337283,1
PHY337284,4
PHY337286,1
PHY337287,1
PHY337288,1
PHY337290,2
PHY337293,3
PHY337294,19
PHY337296,2
PHY337298,1
PHY337299,2
PHY337301,2
PHY337303,3
PHY337305,1
PHY337306,1
PHY337308,1
PHY337309,1
PHY337310,2
PHY337311,1
PHY337312,1
PHY337314,1
PHY337318,1
PHY337319,1
PHY337322,5
PHY337323,1
PHY337326,1
PHY337327,4
PHY337330,1
PHY337332,20
PHY337333,2
PHY337334,5
PHY337335,193
PHY337336,7
PHY337337,1
PHY337338,6
PHY337339,2
PHY337340,1
PHY337342,45
PHY337343,2
PHY337347,1
PHY337350,1
PHY337351,1
PHY337353,1
PHY337354,2
PHY337355,2
PHY337356,1
PHY337357,4
PHY337358,1
