otherphysician,claimid
PHY347239,1
PHY347242,1
PHY347243,27
PHY347245,4
PHY347246,1
PHY347247,1
PHY347250,1
PHY347251,1
PHY347256,1
PHY347258,1
PHY347261,1
PHY347263,1
PHY347269,2
PHY347279,4
PHY347285,1
PHY347288,1
PHY347290,1
PHY347292,2
PHY347293,1
PHY347295,3
PHY347296,1
PHY347298,1
PHY347302,1
PHY347303,1
PHY347308,1
PHY347309,1
PHY347310,1
PHY347312,1
PHY347314,5
PHY347316,1
PHY347317,6
PHY347320,1
PHY347322,9
PHY347324,1
PHY347330,27
PHY347336,23
PHY347337,1
PHY347338,1
PHY347340,4
PHY347342,2
PHY347344,1
PHY347349,1
PHY347352,9
PHY347354,6
PHY347356,2
PHY347357,1
PHY347361,2
PHY347365,8
PHY347366,3
PHY347368,1
PHY347369,4
PHY347370,1
PHY347373,1
PHY347374,2
PHY347377,1
PHY347378,3
PHY347379,1
PHY347380,28
PHY347384,1
PHY347387,3
PHY347393,2
PHY347394,1
PHY347398,1
PHY347399,2
PHY347402,1
PHY347408,4
PHY347409,4
PHY347411,1
PHY347416,1
PHY347418,2
PHY347420,2
PHY347423,23
PHY347425,4
PHY347430,1
PHY347434,1
PHY347435,3
PHY347436,1
PHY347438,2
PHY347439,2
PHY347440,2
PHY347441,2
PHY347443,7
PHY347444,4
PHY347445,1
PHY347449,1
PHY347450,2
PHY347451,3
PHY347453,1
PHY347455,1
PHY347456,1
PHY347458,1
PHY347462,1
PHY347463,2
PHY347465,8
PHY347466,1
PHY347467,1
PHY347468,1
PHY347471,2
PHY347475,1
PHY347476,1
PHY347481,7
PHY347483,8
PHY347486,2
PHY347491,1
PHY347496,13
PHY347498,2
PHY347499,1
PHY347505,1
PHY347506,2
PHY347507,1
PHY347510,3
PHY347511,111
PHY347513,3
PHY347517,3
PHY347520,24
PHY347526,1
PHY347529,2
PHY347530,2
PHY347531,2
PHY347536,1
PHY347540,104
PHY347541,1
PHY347544,2
PHY347546,1
PHY347551,12
PHY347552,1
PHY347555,2
PHY347560,3
PHY347561,1
PHY347563,8
PHY347566,1
PHY347569,2
PHY347572,1
PHY347573,153
PHY347576,3
PHY347579,1
PHY347580,1
PHY347581,1
PHY347584,6
PHY347586,3
PHY347587,1
PHY347593,1
PHY347595,2
PHY347597,1
PHY347601,2
PHY347602,3
PHY347603,1
PHY347604,1
PHY347610,2
PHY347615,1
PHY347619,1
PHY347627,9
PHY347628,6
PHY347630,1
PHY347631,1
PHY347638,1
PHY347639,1
PHY347640,1
PHY347643,1
PHY347644,2
PHY347650,1
PHY347651,1
PHY347653,1
PHY347654,2
PHY347656,2
PHY347660,1
PHY347661,3
PHY347663,1
PHY347666,1
PHY347667,1
PHY347672,1
PHY347675,1
PHY347676,11
PHY347678,1
PHY347679,1
PHY347682,3
PHY347684,1
PHY347685,2
PHY347687,1
PHY347690,1
PHY347691,6
PHY347692,1
PHY347694,1
PHY347703,1
PHY347704,1
PHY347705,2
PHY347707,1
PHY347710,1
PHY347712,3
PHY347713,6
PHY347715,7
PHY347716,4
PHY347717,1
PHY347720,48
PHY347723,1
PHY347724,1
PHY347728,1
PHY347739,1
PHY347740,2
PHY347745,1
PHY347746,1
PHY347755,53
PHY347756,1
PHY347757,1
PHY347760,1
PHY347761,2
PHY347763,18
PHY347765,1
PHY347768,5
PHY347772,1
PHY347777,1
PHY347778,3
PHY347783,1
PHY347784,17
PHY347786,2
PHY347787,1
PHY347790,3
PHY347795,2
PHY347796,1
PHY347797,1
PHY347798,1
PHY347800,1
PHY347801,1
PHY347802,1
PHY347804,7
PHY347806,2
PHY347807,1
PHY347809,1
PHY347811,1
PHY347813,15
PHY347814,1
PHY347815,1
PHY347816,1
PHY347818,1
PHY347820,1
PHY347821,2
PHY347822,6
PHY347824,1
PHY347827,1
PHY347829,1
PHY347831,1
PHY347834,8
PHY347835,4
PHY347837,4
PHY347840,1
PHY347851,1
PHY347852,1
PHY347854,10
PHY347856,9
PHY347858,4
PHY347863,1
PHY347865,17
PHY347867,4
PHY347868,1
PHY347869,1
PHY347874,1
PHY347877,8
PHY347878,3
PHY347879,25
PHY347892,1
PHY347897,1
PHY347898,1
PHY347899,1
PHY347901,1
PHY347902,1
PHY347905,1
PHY347909,2
PHY347912,8
PHY347917,1
PHY347918,14
PHY347919,1
PHY347920,1
PHY347921,15
PHY347923,16
PHY347926,2
PHY347927,1
PHY347929,1
PHY347933,6
PHY347936,1
PHY347937,1
PHY347940,1
PHY347941,1
PHY347943,1
PHY347944,1
PHY347945,2
PHY347948,2
PHY347960,2
PHY347962,1
PHY347966,1
PHY347967,1
PHY347970,1
PHY347971,1
PHY347972,3
PHY347973,2
PHY347975,1
PHY347977,1
PHY347985,1
PHY347987,1
PHY347992,1
PHY347993,19
PHY348000,1
PHY348001,1
PHY348006,3
PHY348016,3
PHY348017,1
PHY348018,1
PHY348019,1
PHY348022,1
PHY348024,1
PHY348025,5
PHY348026,3
PHY348028,3
PHY348030,1
PHY348036,26
PHY348037,3
PHY348038,1
PHY348044,1
PHY348046,2
PHY348049,1
PHY348052,2
PHY348057,3
PHY348058,1
PHY348059,1
PHY348061,1
PHY348062,2
PHY348066,2
PHY348067,2
PHY348069,1
PHY348070,2
PHY348071,7
PHY348073,5
PHY348075,1
PHY348077,1
PHY348078,2
PHY348081,1
PHY348083,1
PHY348087,1
PHY348089,1
PHY348090,1
PHY348092,1
PHY348098,1
PHY348099,1
PHY348100,1
PHY348102,1
PHY348103,22
PHY348106,7
PHY348111,1
PHY348115,1
PHY348116,1
PHY348118,2
PHY348122,1
PHY348124,1
PHY348132,1
PHY348133,9
PHY348135,1
PHY348136,8
PHY348137,2
PHY348138,1
PHY348142,1
PHY348143,6
PHY348145,5
PHY348146,1
PHY348147,1
PHY348149,5
PHY348153,1
PHY348154,1
PHY348157,1
PHY348159,2
PHY348162,9
PHY348164,1
PHY348167,2
PHY348168,1
PHY348169,6
PHY348171,1
PHY348173,4
PHY348174,1
PHY348176,3
PHY348180,1
PHY348181,1
PHY348182,5
PHY348185,3
PHY348189,2
PHY348190,1
PHY348193,1
PHY348198,2
PHY348199,1
PHY348202,1
PHY348203,2
PHY348205,1
PHY348207,1
PHY348209,1
PHY348215,1
PHY348221,1
PHY348222,11
PHY348224,1
PHY348230,1
PHY348231,2
PHY348233,2
PHY348234,1
PHY348235,3
PHY348236,4
PHY348237,1
PHY348240,4
PHY348241,1
PHY348243,3
PHY348245,52
PHY348246,1
PHY348248,1
PHY348250,1
PHY348253,1
PHY348255,1
PHY348257,1
PHY348258,2
PHY348260,2
PHY348262,1
PHY348265,1
PHY348268,1
PHY348269,9
PHY348271,1
PHY348272,14
PHY348275,1
PHY348277,2
PHY348280,2
PHY348281,2
PHY348282,1
PHY348284,1
PHY348285,4
PHY348288,1
PHY348290,37
PHY348293,1
PHY348296,22
PHY348300,3
PHY348301,28
PHY348303,1
PHY348305,4
PHY348307,78
PHY348308,7
PHY348316,8
PHY348318,2
PHY348320,1
PHY348322,1
PHY348332,1
PHY348334,1
PHY348335,2
PHY348336,1
PHY348341,27
PHY348345,5
PHY348346,1
PHY348349,4
PHY348350,1
PHY348353,1
PHY348358,1
PHY348371,1
PHY348372,1
PHY348373,5
PHY348377,1
PHY348379,6
PHY348382,4
PHY348383,1
PHY348384,1
PHY348385,1
PHY348387,1
PHY348388,1
PHY348391,7
PHY348392,3
PHY348398,1
PHY348402,1
PHY348405,2
PHY348407,14
PHY348408,170
PHY348409,1
PHY348414,2
PHY348415,1
PHY348417,2
PHY348419,36
PHY348422,1
PHY348425,1
PHY348429,2
PHY348431,1
PHY348432,1
PHY348435,1
PHY348436,6
PHY348437,1
PHY348439,13
PHY348440,4
PHY348442,2
PHY348443,4
PHY348449,1
PHY348453,1
PHY348455,2
PHY348457,1
PHY348458,1
PHY348461,1
PHY348466,6
PHY348467,3
PHY348468,1
PHY348469,4
PHY348473,12
PHY348478,4
PHY348480,1
PHY348482,1
PHY348488,3
PHY348489,3
PHY348491,1
PHY348493,2
PHY348494,19
PHY348497,1
PHY348498,1
PHY348499,19
PHY348504,1
PHY348505,6
PHY348509,7
PHY348513,3
PHY348514,2
PHY348519,3
PHY348525,1
PHY348530,1
PHY348537,1
PHY348538,1
PHY348540,12
PHY348541,1
PHY348542,1
PHY348543,3
PHY348544,2
PHY348548,3
PHY348549,1
PHY348550,1
PHY348551,115
PHY348552,1
PHY348555,1
PHY348557,1
PHY348560,1
PHY348561,1
PHY348562,1
PHY348568,1
PHY348570,8
PHY348572,1
PHY348576,1
PHY348579,5
PHY348580,1
PHY348581,1
PHY348586,2
PHY348587,1
PHY348588,1
PHY348592,1
PHY348595,6
PHY348601,4
PHY348602,1
PHY348604,1
PHY348607,3
PHY348608,6
PHY348613,1
PHY348616,1
PHY348617,39
PHY348621,1
PHY348627,2
PHY348631,1
PHY348635,1
PHY348636,18
PHY348641,1
PHY348642,1
PHY348644,1
PHY348646,1
PHY348647,1
PHY348650,1
PHY348652,2
PHY348655,2
PHY348657,1
PHY348658,1
PHY348660,3
PHY348668,1
PHY348669,1
PHY348671,11
PHY348672,3
PHY348676,1
PHY348678,2
PHY348680,1
PHY348684,1
PHY348687,1
PHY348689,4
PHY348690,1
PHY348691,2
PHY348693,2
PHY348700,5
PHY348701,1
PHY348703,53
PHY348705,1
PHY348710,1
PHY348712,1
PHY348713,1
PHY348721,2
PHY348723,1
PHY348724,1
PHY348729,1
PHY348730,1
PHY348734,1
PHY348737,1
PHY348740,1
PHY348746,1
PHY348747,2
PHY348748,56
PHY348751,1
PHY348753,1
PHY348755,1
PHY348756,2
PHY348757,1
PHY348758,8
PHY348759,2
PHY348760,3
PHY348761,5
PHY348762,1
PHY348763,2
PHY348765,1
PHY348767,1
PHY348768,1
PHY348770,1
PHY348776,1
PHY348777,1
PHY348779,15
PHY348781,1
PHY348785,1
PHY348790,9
PHY348792,2
PHY348793,3
PHY348795,1
PHY348797,1
PHY348799,1
PHY348802,1
PHY348803,1
PHY348808,1
PHY348809,2
PHY348810,4
PHY348811,2
PHY348818,1
PHY348819,1
PHY348821,4
PHY348822,3
PHY348823,2
PHY348824,1
PHY348825,2
PHY348826,1
PHY348828,15
PHY348829,10
PHY348833,2
PHY348835,1
PHY348836,1
PHY348838,1
PHY348840,3
PHY348847,1
PHY348848,13
PHY348850,3
PHY348851,1
PHY348852,1
PHY348853,3
PHY348862,1
PHY348865,2
PHY348866,4
PHY348868,1
PHY348869,1
PHY348870,1
PHY348872,124
PHY348873,4
PHY348876,1
PHY348879,1
PHY348886,1
PHY348888,2
PHY348889,3
PHY348890,1
PHY348895,17
PHY348899,1
PHY348905,13
PHY348911,1
PHY348919,1
PHY348920,1
PHY348922,9
PHY348927,9
PHY348928,39
PHY348931,2
PHY348933,4
PHY348939,2
PHY348940,1
PHY348941,1
PHY348942,1
PHY348943,1
PHY348949,1
PHY348950,1
PHY348951,1
PHY348952,2
PHY348956,4
PHY348957,1
PHY348959,13
PHY348962,6
PHY348965,22
PHY348968,1
PHY348971,7
PHY348973,1
PHY348974,1
PHY348975,6
PHY348976,1
PHY348977,1
PHY348978,1
PHY348980,1
PHY348985,3
PHY348986,1
PHY348988,1
PHY348990,3
PHY348992,14
PHY348993,1
PHY348994,10
PHY348996,2
PHY348997,17
PHY349003,1
PHY349005,5
PHY349012,1
PHY349014,1
PHY349019,2
PHY349020,1
PHY349021,1
PHY349022,1
PHY349025,1
PHY349027,1
PHY349030,1
PHY349032,2
PHY349037,1
PHY349040,1
PHY349042,1
PHY349043,5
PHY349049,1
PHY349052,18
PHY349053,2
PHY349054,1
PHY349056,1
PHY349060,4
PHY349061,1
PHY349063,1
PHY349065,1
PHY349066,1
PHY349068,1
PHY349070,5
PHY349072,1
PHY349075,1
PHY349077,1
PHY349081,1
PHY349084,3
PHY349087,2
PHY349089,1
PHY349090,1
PHY349091,12
PHY349094,1
PHY349097,2
PHY349098,1
PHY349099,7
PHY349101,1
PHY349102,3
PHY349104,1
PHY349110,1
PHY349111,1
PHY349117,1
PHY349118,4
PHY349119,1
PHY349121,1
PHY349127,1
PHY349129,1
PHY349145,1
PHY349148,1
PHY349154,1
PHY349159,1
PHY349165,6
PHY349168,1
PHY349169,1
PHY349171,2
PHY349175,1
PHY349178,1
PHY349180,3
PHY349185,1
PHY349187,16
PHY349188,1
PHY349194,2
PHY349196,1
PHY349199,1
PHY349201,1
PHY349203,2
PHY349205,1
PHY349207,1
PHY349209,1
PHY349210,20
PHY349212,2
PHY349215,2
PHY349218,1
PHY349220,1
PHY349221,9
PHY349224,1
PHY349227,1
PHY349230,2
PHY349232,16
PHY349235,1
PHY349237,4
PHY349243,4
PHY349244,2
PHY349247,1
PHY349252,1
PHY349259,1
PHY349260,6
PHY349264,4
PHY349269,14
PHY349277,1
PHY349279,1
PHY349284,1
PHY349287,2
PHY349289,2
PHY349291,7
PHY349292,2
PHY349295,71
PHY349300,2
PHY349306,1
PHY349308,1
PHY349309,21
PHY349310,44
PHY349312,1
PHY349317,1
PHY349318,1
PHY349320,4
PHY349323,2
PHY349324,32
PHY349325,1
PHY349327,3
PHY349330,1
PHY349331,1
PHY349332,1
PHY349343,1
PHY349344,4
PHY349346,2
PHY349347,1
PHY349350,4
PHY349351,17
PHY349355,1
PHY349357,2
PHY349358,1
PHY349361,1
PHY349363,3
PHY349368,1
PHY349371,3
PHY349375,5
PHY349379,1
PHY349380,1
PHY349383,1
PHY349384,2
PHY349386,2
PHY349387,17
PHY349388,3
PHY349389,1
PHY349392,2
PHY349394,1
PHY349396,4
PHY349398,1
PHY349399,1
PHY349403,3
PHY349405,1
PHY349408,1
PHY349412,10
PHY349414,1
PHY349418,1
PHY349419,6
PHY349420,6
PHY349421,17
PHY349430,8
PHY349432,1
PHY349435,1
PHY349438,60
PHY349439,6
PHY349441,1
PHY349442,1
PHY349443,3
PHY349445,1
PHY349447,1
PHY349451,2
PHY349452,1
PHY349453,3
PHY349454,1
PHY349456,3
PHY349458,3
PHY349461,5
PHY349464,1
PHY349466,1
PHY349472,3
PHY349475,1
PHY349480,1
PHY349481,1
PHY349482,2
PHY349493,3
PHY349494,1
PHY349497,5
PHY349498,1
PHY349503,10
PHY349504,2
PHY349507,3
PHY349508,1
PHY349509,1
PHY349511,2
PHY349512,1
PHY349513,4
PHY349514,1
PHY349521,1
PHY349524,1
PHY349526,3
PHY349528,2
PHY349530,16
PHY349538,1
PHY349539,1
PHY349540,2
PHY349541,1
PHY349542,1
PHY349544,5
PHY349545,31
PHY349552,1
PHY349555,16
PHY349557,1
PHY349559,1
PHY349560,1
PHY349563,1
PHY349565,1
PHY349566,21
PHY349567,1
PHY349570,1
PHY349573,4
PHY349577,3
PHY349582,1
PHY349584,1
PHY349586,1
PHY349589,1
PHY349592,1
PHY349593,1
PHY349597,1
PHY349600,1
PHY349604,4
PHY349605,1
PHY349608,1
PHY349610,1
PHY349612,2
PHY349614,1
PHY349615,1
PHY349621,2
PHY349624,2
PHY349626,1
PHY349639,1
PHY349645,1
PHY349646,1
PHY349654,1
PHY349657,1
PHY349658,2
PHY349660,1
PHY349666,2
PHY349668,2
PHY349679,1
PHY349680,3
PHY349684,1
PHY349687,1
PHY349690,2
PHY349691,1
PHY349693,2
PHY349696,1
PHY349697,4
PHY349700,4
PHY349702,2
PHY349704,2
PHY349706,1
PHY349708,2
PHY349713,3
PHY349715,1
PHY349716,1
PHY349722,1
PHY349724,3
PHY349726,62
PHY349728,1
PHY349730,2
PHY349733,5
PHY349735,1
PHY349736,1
PHY349737,2
PHY349739,1
PHY349742,1
PHY349747,7
PHY349748,2
PHY349750,4
PHY349756,83
PHY349757,1
PHY349759,2
PHY349760,1
PHY349762,12
PHY349764,2
PHY349766,1
PHY349768,4
PHY349770,2
PHY349772,1
PHY349773,1
PHY349774,1
PHY349775,12
PHY349786,2
PHY349792,1
PHY349798,2
PHY349801,7
PHY349802,1
PHY349803,1
PHY349808,2
PHY349809,1
PHY349810,1
PHY349812,1
PHY349814,1
PHY349818,140
PHY349824,3
PHY349827,1
PHY349828,1
PHY349829,7
PHY349830,1
PHY349831,1
PHY349832,1
PHY349833,1
PHY349837,2
PHY349843,1
PHY349845,1
PHY349852,2
PHY349856,1
PHY349858,1
PHY349860,1
PHY349861,4
PHY349863,2
PHY349864,2
PHY349870,2
PHY349871,1
PHY349872,1
PHY349874,2
PHY349875,1
PHY349876,1
PHY349879,1
PHY349880,115
PHY349882,1
PHY349891,2
PHY349894,3
PHY349898,1
PHY349900,3
PHY349902,1
PHY349903,1
PHY349904,1
PHY349905,10
PHY349909,111
PHY349911,3
PHY349916,3
PHY349917,1
PHY349918,1
PHY349919,4
PHY349922,1
PHY349923,1
PHY349925,1
PHY349926,1
PHY349927,1
PHY349934,2
PHY349936,2
PHY349938,2
PHY349939,1
PHY349940,1
PHY349941,1
PHY349942,1
PHY349944,6
PHY349945,1
PHY349946,1
PHY349947,1
PHY349949,1
PHY349950,2
PHY349952,1
PHY349954,2
PHY349957,1
PHY349961,2
PHY349968,2
PHY349971,1
PHY349977,3
PHY349978,2
PHY349979,1
PHY349981,1
PHY349982,1
PHY349984,1
PHY349990,3
PHY349991,3
PHY349993,1
PHY349999,4
PHY350000,1
PHY350004,1
PHY350006,3
PHY350007,1
PHY350017,7
PHY350018,1
PHY350019,1
PHY350021,2
PHY350023,1
PHY350029,1
PHY350032,3
PHY350036,1
PHY350038,1
PHY350041,7
PHY350046,7
PHY350049,1
PHY350050,1
PHY350053,1
PHY350066,28
PHY350067,1
PHY350070,4
PHY350071,2
PHY350074,1
PHY350075,1
PHY350079,3
PHY350089,1
PHY350093,1
PHY350098,1
PHY350106,1
PHY350110,5
PHY350114,1
PHY350115,1
PHY350117,1
PHY350118,5
PHY350119,1
PHY350124,1
PHY350129,1
PHY350130,2
PHY350133,2
PHY350138,1
PHY350139,1
PHY350144,1
PHY350146,1
PHY350149,1
PHY350150,1
PHY350151,1
PHY350152,1
PHY350153,9
PHY350155,8
PHY350157,1
PHY350162,2
PHY350163,2
PHY350166,23
PHY350169,3
PHY350173,3
PHY350176,3
PHY350181,1
PHY350182,4
PHY350188,1
PHY350196,1
PHY350199,1
PHY350201,1
PHY350204,6
PHY350217,1
PHY350219,3
PHY350220,62
PHY350221,1
PHY350223,3
PHY350224,4
PHY350226,1
PHY350227,1
PHY350229,2
PHY350231,1
PHY350233,1
PHY350234,1
PHY350235,1
PHY350238,2
PHY350240,1
PHY350244,4
PHY350247,2
PHY350249,20
PHY350250,2
PHY350259,2
PHY350271,1
PHY350277,682
PHY350280,2
PHY350283,1
PHY350284,5
PHY350286,1
PHY350287,3
PHY350292,5
PHY350293,1
PHY350294,1
PHY350296,10
PHY350298,3
PHY350299,1
PHY350300,1
PHY350311,6
PHY350313,3
PHY350314,1
PHY350318,3
PHY350321,2
PHY350324,1
PHY350328,1
PHY350330,2
PHY350338,1
PHY350341,1
PHY350344,1
PHY350345,4
PHY350347,1
PHY350351,3
PHY350352,1
PHY350355,1
PHY350356,1
PHY350357,2
PHY350359,16
PHY350360,1
PHY350365,2
PHY350367,7
PHY350372,1
PHY350378,1
PHY350379,1
PHY350380,1
PHY350382,1
PHY350383,1
PHY350384,1
PHY350387,1
PHY350388,7
PHY350392,1
PHY350393,45
PHY350398,5
PHY350399,130
PHY350400,1
PHY350403,2
PHY350405,1
PHY350408,18
PHY350409,2
PHY350412,1
PHY350422,1
PHY350424,2
PHY350427,3
PHY350431,1
PHY350433,7
PHY350437,2
PHY350439,1
PHY350441,3
PHY350442,1
PHY350445,2
PHY350446,3
PHY350447,3
PHY350449,1
PHY350452,6
PHY350453,1
PHY350455,1
PHY350456,1
PHY350457,1
PHY350459,2
PHY350460,1
PHY350461,2
PHY350462,1
PHY350465,2
PHY350467,1
PHY350468,1
PHY350469,3
PHY350470,9
PHY350472,3
PHY350473,1
PHY350474,1
PHY350477,1
PHY350481,1
PHY350484,1
PHY350489,3
PHY350491,2
PHY350492,1
PHY350496,1
PHY350501,4
PHY350502,2
PHY350506,3
PHY350507,5
PHY350513,1
PHY350514,32
PHY350515,1
PHY350516,2
PHY350517,1
PHY350518,1
PHY350521,1
PHY350522,10
PHY350527,2
PHY350529,3
PHY350538,1
PHY350539,1
PHY350540,2
PHY350546,4
PHY350549,1
PHY350550,2
PHY350554,2
PHY350568,2
PHY350570,3
PHY350571,1
PHY350576,2
PHY350580,1
PHY350582,15
PHY350585,1
PHY350586,1
PHY350587,2
PHY350589,2
PHY350590,1
PHY350592,1
PHY350593,1
PHY350595,2
PHY350598,1
PHY350599,10
PHY350602,1
PHY350604,20
PHY350607,1
PHY350615,1
PHY350616,1
PHY350622,1
PHY350634,1
PHY350635,5
PHY350636,1
PHY350638,1
PHY350640,2
PHY350642,1
PHY350647,1
PHY350648,1
PHY350650,3
PHY350651,1
PHY350657,1
PHY350661,1
PHY350666,2
PHY350668,1
PHY350669,5
PHY350672,4
PHY350676,1
PHY350679,1
PHY350682,1
PHY350689,3
PHY350690,2
PHY350692,3
PHY350693,1
PHY350694,1
PHY350696,1
PHY350698,1
PHY350699,1
PHY350706,1
PHY350708,1
PHY350710,1
PHY350719,4
PHY350721,1
PHY350723,2
PHY350727,3
PHY350728,1
PHY350730,1
PHY350733,1
PHY350735,8
PHY350738,1
PHY350739,3
PHY350743,1
PHY350744,34
PHY350746,2
PHY350749,3
PHY350754,2
PHY350757,1
PHY350759,1
PHY350769,1
PHY350770,2
PHY350771,1
PHY350773,3
PHY350774,3
PHY350780,1
PHY350784,1
PHY350785,2
PHY350786,5
PHY350791,1
PHY350794,1
PHY350798,1
PHY350799,1
PHY350800,2
PHY350805,1
PHY350809,1
PHY350815,1
PHY350816,1
PHY350819,2
PHY350823,6
PHY350824,1
PHY350825,3
PHY350826,3
PHY350828,1
PHY350829,1
PHY350830,1
PHY350832,1
PHY350836,1
PHY350839,6
PHY350841,1
PHY350843,4
PHY350845,7
PHY350848,22
PHY350851,1
PHY350852,2
PHY350853,2
PHY350855,1
PHY350856,1
PHY350857,1
PHY350858,1
PHY350862,1
PHY350865,2
PHY350869,3
PHY350874,6
PHY350878,2
PHY350880,1
PHY350883,1
PHY350890,21
PHY350893,1
PHY350895,1
PHY350898,1
PHY350903,7
PHY350905,1
PHY350906,1
PHY350907,1
PHY350908,1
PHY350911,2
PHY350923,22
PHY350926,4
PHY350927,1
PHY350929,1
PHY350932,1
PHY350936,1
PHY350937,2
PHY350938,1
PHY350939,19
PHY350941,1
PHY350943,1
PHY350945,1
PHY350951,1
PHY350953,1
PHY350961,1
PHY350963,1
PHY350971,7
PHY350977,3
PHY350978,1
PHY350981,4
PHY350982,1
PHY350985,1
PHY350986,1
PHY350989,2
PHY350991,1
PHY350992,3
PHY350994,3
PHY350996,2
PHY350997,32
PHY351000,3
PHY351002,31
PHY351004,1
PHY351005,1
PHY351008,1
PHY351011,1
PHY351013,1
PHY351014,1
PHY351016,1
PHY351017,1
PHY351022,3
PHY351025,1
PHY351028,3
PHY351029,10
PHY351034,5
PHY351035,1
PHY351044,1
PHY351045,4
PHY351051,1
PHY351053,27
PHY351054,2
PHY351055,1
PHY351061,2
PHY351063,2
PHY351068,1
PHY351073,1
PHY351074,4
PHY351076,1
PHY351083,3
PHY351084,1
PHY351087,1
PHY351088,3
PHY351089,1
PHY351094,1
PHY351095,1
PHY351096,1
PHY351098,2
PHY351099,6
PHY351100,2
PHY351110,2
PHY351111,32
PHY351112,22
PHY351113,1
PHY351114,1
PHY351118,5
PHY351119,1
PHY351120,1
PHY351122,4
PHY351123,7
PHY351126,4
PHY351129,1
PHY351134,2
PHY351135,2
PHY351136,1
PHY351137,1
PHY351140,1
PHY351141,2
PHY351144,2
PHY351145,1
PHY351147,1
PHY351148,2
PHY351154,12
PHY351156,1
PHY351161,1
PHY351162,1
PHY351164,1
PHY351165,2
PHY351170,1
PHY351179,2
PHY351183,6
PHY351187,1
PHY351191,9
PHY351200,1
PHY351204,2
PHY351205,3
PHY351209,1
PHY351216,2
PHY351220,2
PHY351223,6
PHY351226,1
PHY351230,1
PHY351232,1
PHY351235,1
PHY351236,7
PHY351238,4
PHY351242,1
PHY351243,2
PHY351247,4
PHY351250,2
PHY351251,1
PHY351253,3
PHY351254,3
PHY351255,1
PHY351257,41
PHY351260,2
PHY351262,1
PHY351263,1
PHY351265,7
PHY351267,4
PHY351272,1
PHY351278,2
PHY351279,1
PHY351280,1
PHY351284,1
PHY351287,5
PHY351288,1
PHY351290,1
PHY351291,73
PHY351293,1
PHY351295,1
PHY351296,3
PHY351298,2
PHY351299,1
PHY351301,5
PHY351303,1
PHY351306,1
PHY351308,26
PHY351309,7
PHY351310,1
PHY351313,6
PHY351314,3
PHY351315,1
PHY351317,1
PHY351318,1
PHY351320,2
PHY351329,1
PHY351332,2
PHY351333,1
PHY351337,1
PHY351338,131
PHY351340,1
PHY351341,1
PHY351343,1
PHY351344,1
PHY351347,3
PHY351348,2
PHY351352,1
PHY351355,1
PHY351356,3
PHY351358,2
PHY351360,1
PHY351362,1
PHY351365,2
PHY351368,1
PHY351369,4
PHY351372,1
PHY351376,19
PHY351378,1
PHY351379,1
PHY351381,3
PHY351385,1
PHY351388,2
PHY351389,1
PHY351390,1
PHY351391,1
PHY351396,1
PHY351397,1
PHY351400,3
PHY351403,1
PHY351405,1
PHY351407,1
PHY351412,1
PHY351414,1
PHY351417,7
PHY351423,2
PHY351424,1
PHY351427,1
PHY351428,1
PHY351429,1
PHY351431,1
PHY351432,2
PHY351437,1
PHY351438,1
PHY351440,2
PHY351443,111
PHY351448,1
PHY351449,1
PHY351450,2
PHY351451,2
PHY351452,1
PHY351453,1
PHY351455,1
PHY351457,1
PHY351459,1
PHY351461,3
PHY351464,1
PHY351465,2
PHY351466,1
PHY351468,1
PHY351471,5
PHY351482,1
PHY351489,1
PHY351495,1
PHY351497,1
PHY351506,2
PHY351507,3
PHY351509,4
PHY351512,3
PHY351517,1
PHY351520,1
PHY351522,1
PHY351523,24
PHY351527,1
PHY351529,3
PHY351540,1
PHY351541,1
PHY351543,2
PHY351546,1
PHY351547,2
PHY351549,2
PHY351550,1
PHY351551,1
PHY351553,1
PHY351554,3
PHY351555,2
PHY351556,8
PHY351557,1
PHY351559,1
PHY351561,3
PHY351562,1
PHY351564,1
PHY351566,1
PHY351569,2
PHY351570,1
PHY351575,7
PHY351579,5
PHY351581,1
PHY351582,2
PHY351585,2
PHY351593,1
PHY351600,4
PHY351606,1
PHY351608,2
PHY351613,1
PHY351615,1
PHY351616,5
PHY351618,1
PHY351621,1
PHY351626,13
PHY351630,2
PHY351631,2
PHY351633,40
PHY351639,2
PHY351640,1
PHY351643,1
PHY351645,2
PHY351646,1
PHY351649,1
PHY351650,4
PHY351657,25
PHY351658,20
PHY351659,2
PHY351660,1
PHY351663,3
PHY351668,9
PHY351671,1
PHY351673,5
PHY351675,9
PHY351676,1
PHY351681,1
PHY351684,2
PHY351686,2
PHY351700,3
PHY351701,1
PHY351703,4
PHY351704,1
PHY351705,1
PHY351707,1
PHY351710,1
PHY351711,1
PHY351712,4
PHY351718,1
PHY351723,1
PHY351725,1
PHY351726,1
PHY351729,1
PHY351733,1
PHY351740,1
PHY351742,2
PHY351744,1
PHY351745,2
PHY351752,1
PHY351753,1
PHY351754,5
PHY351756,3
PHY351758,1
PHY351769,7
PHY351771,47
PHY351772,1
PHY351774,2
PHY351775,1
PHY351777,5
PHY351778,4
PHY351781,3
PHY351782,7
PHY351783,1
PHY351789,3
PHY351792,4
PHY351801,1
PHY351802,1
PHY351811,2
PHY351816,1
PHY351818,3
PHY351819,11
PHY351820,4
PHY351821,1
PHY351822,4
PHY351824,105
PHY351828,1
PHY351829,38
PHY351833,2
PHY351837,1
PHY351839,1
